	Actual	Top_5
28	786162080004	['611269332827', '611269716467', '611269001013', '611269113570', '786162080004']
29	786162080004	['049000024708', '078000016161', '078000152166', '078000011814', '786162080004']
30	049000031034	['049000028904', '049000040869', '012000181191', '049000012781', '049000031034']
31	049000031034	['049000040869', '049000542882', '049000012781', '049000542837', '049000031034']
32	049000031034	['049000004632', '049000024692', '049000024685', '049000012781', '049000031034']
33	049000031034	['049000004632', '049000024692', '049000012781', '049000031034', '012000181191']
34	049000031034	['049000040869', '049000012781', '012000181191', '049000028904', '049000031034']
35	049000031034	['078000082166', '078000003864', '049000040869', '049000012781', '049000031034']
36	049000031034	['049000000450', '078000082166', '049000040869', '049000012781', '049000031034']
37	049000031034	['049000042559', '049000040869', '049000012781', '049000031034', '012000181191']
38	049000031034	['049000040869', '049000028904', '049000542882', '049000542837', '049000031034']
39	049000031034	['049000024685', '049000067217', '049000031034', '049000542882', '049000542837']
40	850009942319	['611269716467', '611269001013', '611269818994', '858176002065', '850009942319']
41	850009942319	['012000171444', '858176002508', '858176002065', '012000181191', '850009942319']
42	850009942319	['858176002508', '786162002969', '786162010001', '858176002065', '850009942319']
43	850009942319	['786162010001', '786162080004', '786162002969', '858176002065', '850009942319']
44	012000212062	['012000004520', '611269001013', '611269113570', '012000212062', '012000212024']
45	012000212062	['611269716467', '611269001013', '611269113570', '012000212024', '012000212062']
46	012000212062	['049000075489', '078000152166', '078000011814', '012000004520', '012000212024']
47	012000212062	['611269818994', '611269001013', '611269716467', '611269113570', '012000212024']
48	012000212062	['012000212048', '012000130328', '012000504082', '012000211720', '012000212024']
49	012000212062	['012000212062', '611269716467', '611269001013', '012000212024', '611269113570']
50	012000212062	['012000212048', '611269716467', '611269001013', '012000212024', '611269113570']
51	012000212062	['012000004520', '049000030730', '049000047844', '012000212048', '012000212024']
52	012000212062	['012000212048', '611269716467', '611269001013', '012000212024', '611269113570']
53	012000212062	['786162002969', '012000004520', '012000212048', '786162080004', '012000212024']
54	078000011814	['049000075489', '012000809972', '012000504082', '012000211720', '078000011814']
55	078000011814	['818094005814', '078000152166', '818094005807', '049000075489', '078000011814']
56	078000011814	['012000809972', '012000504082', '012000211720', '049000075489', '078000011814']
57	078000011814	['078000152166', '818094005791', '078000011807', '818094005807', '078000011814']
58	049000012781	['049000542837', '049000542882', '049000042559', '049000028904', '049000012781']
59	049000012781	['049000542882', '049000542837', '049000042559', '049000028904', '049000012781']
60	049000012781	['049000050103', '078000082166', '049000042559', '049000028904', '049000012781']
61	049000012781	['049000532524', '049000012781', '049000031034', '049000042559', '049000028904']
62	049000012781	['049000000450', '049000012781', '049000042559', '012000181191', '049000040869']
63	049000012781	['049000031034', '049000042559', '049000028904', '049000012781', '049000542837']
64	049000012781	['049000532562', '049000532524', '049000042559', '049000031034', '049000028904']
65	049000012781	['049000028911', '049000024685', '049000012781', '049000532562', '049000542837']
66	049000012781	['049000042559', '049000031034', '049000067217', '049000012781', '049000028904']
67	049000012781	['049000004632', '049000028904', '049000542882', '049000031034', '049000012781']
68	012000504082	['049000028928', '078000011807', '012000001314', '049000007640', '049000075489']
69	012000504082	['049000028928', '049000007640', '049000075489', '012000211720', '012000504082']
70	012000504082	['049000007640', '049000024708', '012000001314', '012000504082', '012000809965']
71	012000504082	['049000075489', '012000504082', '012000211720', '012000001314', '078000016161']
72	012000504082	['012000504082', '012000001314', '049000007640', '078000011807', '049000075489']
73	012000504082	['078000152166', '012000001314', '049000075489', '049000028928', '012000504082']
74	012000504082	['012000001314', '049000075489', '012000504082', '049000007640', '049000028928']
75	012000504082	['049000028928', '049000007640', '078000011807', '012000504082', '012000809965']
76	610764863638	['012000809941', '818094005791', '012000030680', '012000018794', '818094005807']
77	610764863638	['610764022677', '610764022868', '012000171864', '012000809941', '012000018794']
78	610764863638	['610764022868', '049000009774', '610764022677', '610764863638', '786162338006']
79	610764863638	['786162338006', '610764022868', '610764022882', '610764863638', '049000009774']
80	610764863638	['049000050103', '049000024692', '049000004632', '070847811268', '070847811169']
81	610764863638	['611269991000', '611269716467', '611269818994', '611269001013', '070847811268']
82	610764863638	['610764863812', '012000030680', '012000809996', '610764863638', '012000018794']
83	610764863638	['610764863812', '610764022882', '610764022677', '070847811169', '070847811268']
84	610764863638	['818094005784', '818094005814', '818094005791', '610764863638', '818094005807']
85	012000001598	['012000171864', '012000809941', '012000171956', '012000504051', '049000009774']
86	012000001598	['078000152166', '078000011814', '078000011807', '049000075489', '049000009774']
87	012000001598	['012000809941', '012000000171', '012000171864', '012000504051', '049000009774']
88	012000001598	['012000000171', '012000809941', '012000171956', '012000504051', '049000009774']
89	012000001598	['012000809941', '012000171864', '012000171956', '012000504051', '049000009774']
90	012000001598	['012000171864', '012000171956', '012000809941', '049000009774', '786162338006']
91	012000001598	['786162338006', '012000171864', '012000809941', '012000171956', '049000009774']
92	012000001598	['078000011814', '049000007640', '049000075489', '786162338006', '049000009774']
93	012000001598	['078000082401', '078000052169', '078000083163', '049000009774', '078000003864']
94	012000001598	['611269101713', '611269332827', '611269716467', '611269108026', '049000009774']
95	818094005746	['049000031034', '049000067217', '049000028911', '858176002065', '850009942319']
96	818094005746	['049000028904', '049000024685', '049000067217', '049000031034', '070847037989']
97	818094005746	['818094005791', '016571910310', '041244000067', '818094005814', '818094005746']
98	818094005746	['611269716467', '611269101713', '611269001013', '070847037989', '611269332827']
99	818094005746	['850009942319', '858176002058', '858176002133', '818094005814', '818094005746']
100	012000212048	['078000011807', '078000011814', '049000075489', '012000212024', '012000212048']
101	012000212048	['818094005807', '818094005753', '818094005814', '818094005746', '041244000067']
102	012000212048	['818094005791', '818094005746', '818094005814', '012000212048', '012000212024']
103	012000212048	['818094005814', '818094005746', '012000212048', '818094005791', '012000212024']
104	012000212048	['611269332827', '611269001013', '611269113570', '012000212024', '012000212048']
105	012000212048	['012000212062', '012000212048', '012000004520', '012000212024', '049000047844']
106	012000212048	['818094005753', '818094005784', '611269001013', '818094005791', '611269113570']
107	012000212048	['818094005746', '818094005814', '818094005791', '012000212048', '012000212024']
108	012000212048	['611269332827', '611269001013', '012000212024', '611269113570', '012000212048']
109	012000212048	['012000004520', '049000030730', '012000212048', '049000047844', '012000212024']
110	070847811268	['611269108026', '611269818994', '611269001013', '611269716467', '070847811268']
111	070847811268	['818094005746', '818094005807', '818094005791', '818094005777', '070847811268']
112	070847811268	['611269332827', '611269818994', '611269716467', '611269001013', '070847811268']
113	070847811268	['818094005746', '818094005791', '818094005777', '818094005807', '070847811268']
114	070847811268	['818094005746', '818094005791', '818094005807', '818094005777', '786162338006']
115	070847811268	['611269001013', '611269108026', '610764863812', '611269818994', '611269716467']
116	070847811268	['818094005791', '818094005746', '818094005777', '070847811169', '070847811268']
117	070847811268	['858176002058', '818094005746', '858176002508', '818094005807', '818094005777']
118	049000024692	['078000003864', '049000000450', '049000024692', '078000083163', '078000035261']
119	049000024692	['012000809941', '049000000450', '049000004632', '012000018794', '049000024692']
120	049000024692	['049000042559', '078000083163', '049000000450', '049000024692', '078000003864']
121	049000024692	['049000040869', '049000000450', '049000004632', '078000003864', '049000024692']
122	049000024692	['786162080004', '786162002969', '049000024685', '049000004632', '049000024692']
123	049000024692	['049000004632', '078000152166', '049000000450', '049000075489', '049000024692']
124	049000024692	['078000082401', '078000003864', '049000004632', '078000035261', '049000024692']
125	049000024692	['078000011807', '049000004632', '049000000450', '049000075489', '049000024692']
126	818094005807	['610764022745', '610764022868', '610764022677', '818094005791', '818094005807']
127	818094005807	['818094005791', '610764863812', '610764022882', '818094005784', '818094005807']
128	818094005807	['818094005784', '610764022882', '610764022868', '818094005791', '818094005807']
129	012000504051	['786162338006', '012000000171', '049000009774', '012000171956', '012000504051']
130	012000504051	['012000171956', '012000001598', '049000009774', '012000030680', '012000504051']
131	012000504051	['786162338006', '049000009774', '012000171956', '012000001598', '012000018794']
132	012000504051	['611269001013', '012000809996', '611269716467', '012000000171', '012000504051']
133	012000504051	['012000809996', '012000504051', '012000171956', '012000018794', '012000181191']
134	012000504051	['012000000171', '786162338006', '012000018794', '049000009774', '012000809941']
135	012000504051	['611269101713', '611269818994', '611269716467', '611269108026', '786162338006']
136	012000504051	['012000809941', '610764863638', '012000809996', '012000000171', '012000504051']
137	012000504051	['012000030680', '786162338006', '049000009774', '012000018794', '012000504051']
138	012000504051	['012000030680', '012000211720', '012000018794', '012000504082', '012000809941']
139	858176002133	['850009942319', '858176002133', '858176002065', '049000047844', '858176002171']
140	858176002133	['611269818994', '611269001013', '611269332827', '858176002058', '858176002133']
141	858176002133	['858176002171', '850009942319', '858176002058', '049000047844', '858176002133']
142	858176002133	['818094005753', '818094005814', '858176002065', '858176002270', '818094005746']
143	858176002133	['858176002058', '858176002270', '078000035261', '078000082166', '858176002133']
144	858176002133	['858176002065', '786162010001', '786162150004', '858176002058', '858176002133']
145	858176002133	['049000050103', '049000000443', '850009942319', '858176002058', '858176002133']
146	818094005814	['610764022745', '610764022677', '818094005746', '610764863812', '818094005814']
147	818094005814	['610764863812', '818094005791', '818094005746', '610764022677', '818094005814']
148	818094005814	['610764022882', '610764022745', '610764022677', '610764863812', '818094005814']
149	818094005814	['818094005746', '610764863812', '610764022677', '610764022745', '818094005814']
150	818094005814	['049000042559', '049000050103', '049000024692', '049000028911', '818094005814']
151	012000030680	['611269818994', '611269716467', '611269991000', '012000000171', '012000809941']
152	012000030680	['611269001013', '611269818994', '611269716467', '012000809941', '012000030680']
153	786162010001	['012000171451', '012000171444', '786162080004', '012000181191', '786162002969']
154	786162010001	['786162080004', '610764022882', '610764022677', '786162010001', '786162002969']
155	786162010001	['012000171451', '786162010001', '786162080004', '012000181191', '786162002969']
156	786162010001	['786162080004', '818094005814', '818094005791', '818094005746', '786162010001']
157	786162010001	['786162010001', '786162080004', '786162150004', '786162002969', '041244000067']
158	049000007640	['049000009774', '049000028928', '049000007640', '078000011807', '049000075489']
159	049000007640	['078000011807', '049000009774', '049000075489', '049000007640', '049000028928']
160	049000007640	['012000001314', '012000504082', '049000007640', '078000011807', '049000075489']
161	049000007640	['049000009774', '049000028928', '078000011807', '049000075489', '049000007640']
162	049000007640	['012000504082', '049000028928', '078000011807', '049000007640', '049000075489']
163	049000007640	['012000504082', '078000152166', '049000028928', '049000075489', '049000007640']
164	049000007640	['012000809972', '012000504082', '049000075489', '049000028928', '049000007640']
165	610764022677	['610764022677', '818094005784', '610764022868', '610764022882', '818094005807']
166	610764022677	['818094005784', '610764022745', '818094005807', '610764022882', '610764863812']
167	610764022677	['078000052169', '078000035261', '078000083163', '610764863812', '610764022745']
168	049000000450	['049000050103', '049000000450', '049000040869', '049000024692', '041244000067']
169	049000000450	['049000050103', '049000000450', '049000028911', '049000024692', '041244000067']
170	610764022882	['858176002133', '850009942319', '858176002270', '610764022882', '610764022677']
171	610764022882	['610764022745', '610764022677', '610764022868', '610764022882', '041244000067']
172	610764022882	['610764022868', '611269108026', '611269818994', '610764022677', '611269716467']
173	610764022882	['818094005746', '610764022677', '610764022868', '610764022745', '818094005807']
174	610764022882	['049000024692', '049000042559', '049000028911', '610764022677', '610764022745']
175	610764022882	['610764022868', '818094005791', '610764022677', '818094005807', '610764022745']
176	610764022882	['818094005807', '818094005746', '610764022745', '818094005777', '610764022677']
177	610764022882	['078000035261', '610764022677', '610764863812', '610764022745', '078000083163']
178	610764022882	['818094005753', '818094005814', '610764022882', '818094005807', '610764022745']
179	786162150004	['016571910310', '786162080004', '786162002969', '786162150004', '041244000067']
180	786162150004	['016571910310', '786162080004', '786162002969', '786162150004', '041244000067']
181	786162150004	['016571910303', '016571910310', '786162080004', '041244000067', '786162150004']
182	786162150004	['786162002976', '786162080004', '786162150004', '786162002969', '041244000067']
183	786162150004	['786162002976', '786162150004', '786162080004', '786162002969', '041244000067']
184	786162150004	['070847037989', '070847811169', '070847811268', '786162150004', '786162002976']
185	786162150004	['786162010001', '786162080004', '786162150004', '786162002969', '041244000067']
186	786162150004	['786162002976', '786162338006', '786162080004', '786162002969', '049000009774']
187	818094005777	['611269108026', '611269716467', '611269001013', '818094005807', '818094005777']
188	818094005777	['818094005807', '858176002270', '818094005746', '818094005777', '858176002171']
189	818094005777	['610764022677', '818094005791', '818094005746', '818094005807', '818094005777']
190	818094005777	['016571910310', '818094005807', '818094005791', '818094005777', '041244000067']
191	818094005777	['818094005814', '012000212062', '012000212024', '818094005753', '818094005746']
192	818094005777	['858176002171', '858176002058', '818094005791', '818094005746', '818094005777']
193	611269716467	['012000001598', '049000009774', '786162338006', '611269818994', '611269716467']
194	611269716467	['611269108026', '611269818994', '611269101713', '786162338006', '611269716467']
195	611269716467	['786162080004', '611269101713', '611269818994', '786162002969', '611269716467']
196	611269716467	['610764863812', '611269108026', '610764863638', '611269716467', '611269818994']
197	611269716467	['610764022677', '610764863812', '610764863638', '611269818994', '611269716467']
198	611269716467	['049000028928', '610764863638', '049000075489', '610764022677', '078000011807']
199	611269716467	['012000809996', '611269108026', '611269332827', '611269818994', '611269716467']
200	611269716467	['610764863812', '611269716467', '611269108026', '611269101713', '611269332827']
201	049000050103	['070847811268', '049000024692', '049000024685', '049000000443', '049000050103']
202	049000050103	['078000003864', '049000000443', '078000035261', '049000024692', '049000050103']
203	049000050103	['049000024685', '078000082401', '049000042559', '049000000443', '049000050103']
204	049000050103	['786162010001', '786162002969', '049000042559', '049000000443', '049000050103']
205	049000050103	['049000040869', '049000042559', '049000050103', '078000082401', '078000003864']
206	049000050103	['049000000450', '049000075489', '049000040869', '049000000443', '049000050103']
207	049000050103	['049000040869', '078000003864', '078000082401', '049000050103', '049000000443']
208	049000050103	['818094005777', '049000024692', '049000050103', '049000040869', '818094005746']
209	786162002976	['786162002969', '016571910310', '786162080004', '786162002976', '041244000067']
210	786162002976	['786162002969', '049000075489', '049000024708', '078000011814', '786162002976']
211	786162002976	['786162150004', '016571910310', '786162080004', '041244000067', '786162002976']
212	786162002976	['786162002969', '016571910310', '786162080004', '786162002976', '041244000067']
213	786162002976	['049000031034', '049000028904', '049000028911', '786162080004', '786162002976']
214	786162002976	['786162080004', '786162002969', '049000024708', '786162002976', '078000011814']
215	049000075489	['078000011807', '049000028928', '818094005777', '049000007640', '049000075489']
216	049000075489	['786162002969', '049000007640', '078000011807', '049000028928', '049000075489']
217	049000075489	['012000504082', '049000007640', '049000028928', '078000011807', '049000075489']
218	049000075489	['012000001314', '012000504082', '049000007640', '078000011807', '049000075489']
219	012000171864	['610764022677', '012000809941', '610764022745', '012000030680', '012000171864']
220	012000171864	['610764863812', '012000809941', '012000030680', '610764022677', '012000171864']
221	012000171864	['610764022677', '610764022868', '012000018794', '012000809941', '012000171864']
222	012000171864	['610764022868', '012000030680', '012000809941', '012000018794', '012000171864']
223	049000028928	['611269818994', '611269108026', '611269716467', '078000011807', '049000028928']
224	049000028928	['049000007640', '012000181191', '012000171444', '078000011807', '049000028928']
225	049000028928	['078000011807', '049000007640', '012000171444', '012000181191', '049000028928']
226	049000028928	['078000152166', '078000011807', '049000007640', '012000809965', '049000028928']
227	858176002065	['858176002133', '858176002058', '858176002065', '858176002270', '049000542837']
228	858176002065	['049000028904', '858176002058', '049000040869', '858176002065', '858176002133']
229	858176002065	['049000012781', '049000000443', '858176002065', '858176002058', '858176002133']
230	858176002065	['850009942319', '858176002058', '070847037989', '858176002133', '858176002065']
231	858176002065	['786162002969', '858176002270', '786162010001', '858176002065', '858176002133']
232	858176002065	['858176002065', '858176002058', '818094005791', '818094005814', '818094005746']
233	858176002065	['786162002969', '858176002270', '858176002065', '786162010001', '858176002133']
234	858176002065	['858176002270', '850009942319', '818094005746', '818094005814', '858176002133']
235	858176002508	['818094005814', '818094005791', '850009942319', '818094005807', '858176002508']
236	858176002508	['786162080004', '786162002969', '786162002976', '786162338006', '049000009774']
237	858176002508	['850009942319', '858176002270', '049000009774', '786162338006', '858176002508']
238	858176002508	['610764863638', '610764022677', '850009942319', '610764022868', '858176002508']
239	858176002508	['049000009774', '858176002065', '850009942319', '858176002508', '786162338006']
240	858176002508	['858176002270', '850009942319', '818094005791', '818094005807', '858176002508']
241	858176002508	['858176002270', '850009942319', '610764022677', '610764022745', '858176002508']
242	858176002508	['858176002065', '610764022677', '610764022868', '850009942319', '858176002508']
243	858176002508	['858176002058', '850009942319', '049000009774', '786162338006', '858176002508']
244	858176002508	['818094005784', '818094005791', '850009942319', '818094005807', '858176002508']
245	858176002508	['818094005814', '818094005791', '850009942319', '818094005807', '858176002508']
246	012000809965	['049000007640', '078000011807', '012000211720', '012000504082', '049000075489']
247	012000809965	['078000152166', '078000011814', '078000011807', '012000504082', '012000211720']
248	012000809965	['049000075489', '078000011814', '012000504082', '078000011807', '012000809965']
249	049000028911	['049000004632', '049000024692', '049000067217', '078000083163', '049000028911']
250	049000028911	['049000050103', '078000035261', '078000083163', '049000042559', '049000028911']
251	049000028911	['078000082401', '078000083163', '049000042559', '049000067217', '049000028911']
252	049000028911	['049000042559', '049000028904', '049000028911', '049000542882', '049000542837']
253	049000028911	['078000035261', '049000024692', '049000028911', '049000067217', '078000083163']
254	049000028911	['049000024685', '049000004632', '049000067217', '078000083163', '049000028911']
255	049000028911	['049000042559', '049000004632', '049000012781', '049000028911', '078000083163']
256	049000028911	['610764022868', '610764022677', '070847012474', '610764022745', '070847811268']
257	611269113570	['611269716467', '786162080004', '611269001013', '786162002976', '611269113570']
258	611269113570	['611269716467', '016571910310', '611269001013', '041244000067', '611269113570']
259	611269113570	['818094005791', '818094005753', '818094005784', '611269001013', '611269113570']
260	611269113570	['818094005791', '611269001013', '818094005753', '818094005784', '611269113570']
261	611269113570	['818094005753', '818094005791', '818094005784', '611269001013', '611269113570']
262	611269113570	['012000212048', '012000004520', '012000212024', '611269001013', '611269113570']
263	611269113570	['049000024708', '078000016161', '078000011814', '611269001013', '611269113570']
264	611269113570	['611269716467', '041244000067', '016571910310', '611269001013', '611269113570']
265	012000018794	['610764022677', '610764022882', '610764022868', '012000809941', '012000018794']
266	012000018794	['012000171864', '049000050103', '049000028911', '012000018794', '049000024692']
267	012000018794	['611269332827', '611269001013', '611269716467', '012000809941', '012000018794']
268	012000018794	['610764022882', '610764022868', '610764022677', '012000809941', '012000018794']
269	049000024685	['078000082401', '049000050103', '049000028911', '049000024685', '078000003864']
270	049000024685	['078000035261', '049000000443', '049000004632', '049000024692', '049000024685']
271	049000024685	['786162010001', '049000024692', '049000000443', '049000040869', '049000024685']
272	049000024685	['078000082166', '078000003864', '049000050103', '049000000443', '049000024685']
273	049000024685	['049000040869', '012000181191', '049000024685', '049000050103', '049000000443']
274	049000024685	['049000542837', '049000000443', '049000040869', '049000024692', '049000024685']
275	049000024685	['078000035261', '049000000443', '049000024692', '049000050103', '049000024685']
276	049000024685	['078000035261', '049000024692', '049000000443', '049000024685', '049000050103']
277	049000024685	['049000024692', '078000003864', '049000024685', '049000050103', '049000000443']
278	049000024685	['049000000443', '049000067217', '049000028904', '012000181191', '049000024685']
279	049000024685	['049000000450', '049000040869', '049000050103', '049000000443', '012000181191']
280	049000024685	['818094005784', '850009942319', '818094005791', '858176002508', '818094005807']
281	049000024685	['049000042559', '049000031034', '818094005814', '818094005746', '049000028904']
282	078000052169	['858176002058', '858176002171', '078000052169', '078000083163', '078000035261']
283	078000052169	['078000082166', '049000047844', '078000052169', '078000083163', '078000035261']
284	078000052169	['078000082401', '078000083163', '078000052169', '049000047844', '078000035261']
285	078000052169	['078000035261', '078000052169', '012000504082', '012000211720', '078000083163']
286	078000052169	['049000028911', '078000083163', '078000082166', '078000052169', '078000035261']
287	012000809996	['049000028904', '049000067217', '012000809941', '049000024685', '012000809996']
288	012000809996	['012000004520', '012000018794', '012000809996', '012000809941', '012000212024']
289	786162338006	['611269108026', '611269001013', '611269716467', '611269818994', '786162338006']
290	786162338006	['012000171956', '012000171864', '012000030680', '049000009774', '786162338006']
291	786162338006	['012000809941', '012000504051', '012000171864', '012000171956', '049000009774']
292	786162338006	['012000504051', '012000018794', '049000009774', '012000171956', '786162338006']
293	012000181191	['012000809941', '012000809996', '012000171956', '012000018794', '012000181191']
294	012000181191	['070847012474', '070847037989', '070847811169', '070847811268', '012000181191']
295	012000181191	['818094005791', '818094005814', '818094005777', '818094005746', '012000181191']
296	012000181191	['049000004632', '049000040869', '049000024692', '049000012781', '012000181191']
297	012000181191	['012000212062', '012000212048', '012000004520', '012000212024', '012000181191']
298	012000181191	['049000040869', '049000024692', '049000012781', '049000004632', '012000181191']
299	012000181191	['012000030680', '012000171864', '012000809941', '012000018794', '012000181191']
300	078000082166	['049000028904', '049000012781', '078000083163', '078000035261', '078000082166']
301	078000082166	['049000004632', '049000012781', '049000031034', '049000040869', '078000082166']
302	078000082166	['078000035261', '078000083163', '049000031034', '049000012781', '078000082166']
303	078000082166	['049000031034', '078000035261', '049000012781', '078000083163', '078000082166']
304	078000082166	['049000012781', '049000028904', '049000028911', '049000042559', '049000542837']
305	078000082166	['049000028904', '049000012781', '049000031034', '078000083163', '078000082166']
306	078000082166	['049000028911', '078000035261', '049000031034', '078000083163', '078000082166']
307	078000082166	['049000028904', '049000031034', '049000012781', '078000083163', '078000082166']
308	012000171956	['049000024692', '049000028911', '049000042559', '078000003864', '078000035261']
309	012000171956	['012000809941', '012000809996', '012000171956', '012000018794', '041244000067']
310	012000171956	['049000004632', '049000040869', '049000024692', '049000000450', '012000018794']
311	049000542837	['049000532562', '078000152166', '078000011814', '049000542837', '049000532524']
312	049000542837	['049000542882', '049000532456', '049000532562', '049000047844', '049000532524']
313	049000542837	['049000532562', '049000047844', '049000030730', '049000542837', '049000532524']
314	049000542837	['786162150004', '786162002976', '786162080004', '786162002969', '041244000067']
315	049000542837	['049000067217', '049000028904', '049000542837', '049000532524', '049000532562']
316	049000542837	['049000031034', '049000028904', '049000532524', '049000532562', '049000542837']
317	049000542837	['016571910310', '041244000067', '049000542837', '049000532562', '049000532524']
318	611269332827	['611269101713', '858176002065', '858176002270', '611269001013', '611269332827']
319	611269332827	['786162002969', '818094005791', '786162080004', '786162010001', '818094005746']
320	611269332827	['049000012781', '611269001013', '049000028904', '049000031034', '611269332827']
321	611269332827	['611269716467', '611269101713', '611269001013', '070847037989', '611269332827']
322	611269332827	['818094005814', '818094005791', '611269001013', '818094005746', '611269332827']
323	611269332827	['611269716467', '611269101713', '611269001013', '070847037989', '611269332827']
324	611269332827	['611269716467', '611269101713', '611269001013', '070847037989', '611269332827']
325	611269332827	['049000031034', '049000532524', '049000024685', '049000004632', '049000532562']
326	078000016161	['786162002976', '049000024708', '078000016161', '078000011814', '786162080004']
327	078000016161	['049000012781', '049000067217', '078000011807', '078000011814', '078000016161']
328	078000016161	['078000152166', '818094005753', '078000016161', '078000011814', '818094005784']
329	078000016161	['078000011814', '012000504082', '078000152166', '078000016161', '012000211720']
330	049000532302	['049000040869', '049000031034', '049000004632', '049000024692', '049000542837']
331	049000532302	['049000004632', '049000024692', '049000028904', '049000542837', '049000542882']
332	049000532302	['049000004632', '049000031034', '049000542882', '049000028904', '049000542837']
333	049000532302	['049000028904', '049000004632', '049000031034', '049000542882', '049000542837']
334	049000532302	['012000504051', '012000809996', '012000030680', '049000028904', '049000012781']
335	049000532302	['049000040869', '049000024692', '049000012781', '049000031034', '049000542837']
336	049000532456	['858176002270', '858176002065', '858176002171', '049000532456', '049000542837']
337	049000532456	['049000012781', '049000532562', '049000532524', '049000028904', '049000532456']
338	049000532456	['049000040869', '049000012781', '049000028904', '049000542837', '049000532456']
339	049000532456	['049000042559', '049000012781', '049000028904', '049000532524', '049000532456']
340	049000532456	['078000016161', '078000152166', '049000532562', '078000011814', '049000532524']
341	049000532456	['818094005791', '049000542882', '818094005753', '818094005784', '049000532456']
342	858176002270	['786162080004', '786162002976', '610764022868', '786162002969', '610764863638']
343	858176002270	['016571910310', '858176002065', '858176002133', '041244000067', '858176002270']
344	858176002270	['850009942319', '818094005814', '818094005791', '858176002133', '858176002270']
345	049000047844	['611269101713', '611269716467', '611269001013', '611269332827', '049000047844']
346	049000047844	['049000030730', '016571910303', '016571910310', '041244000067', '049000047844']
347	049000047844	['850009942319', '858176002270', '858176002058', '858176002133', '049000047844']
348	049000047844	['049000030730', '016571910303', '016571910310', '041244000067', '049000047844']
349	049000047844	['611269716467', '611269101713', '611269001013', '611269332827', '049000047844']
350	049000047844	['611269716467', '611269101713', '611269001013', '611269332827', '049000047844']
351	049000047844	['049000030730', '016571910303', '016571910310', '041244000067', '049000047844']
352	049000047844	['611269716467', '611269101713', '611269001013', '611269332827', '049000047844']
353	049000047844	['858176002270', '858176002065', '858176002508', '850009942319', '786162338006']
354	049000047844	['818094005807', '818094005791', '818094005777', '818094005746', '041244000067']
355	858176002171	['858176002065', '818094005753', '818094005791', '818094005784', '858176002171']
356	858176002171	['786162002969', '858176002270', '858176002065', '786162080004', '858176002171']
357	858176002171	['818094005753', '818094005784', '858176002058', '818094005791', '858176002171']
358	858176002171	['858176002133', '078000003864', '078000082401', '858176002171', '858176002058']
359	858176002171	['850009942319', '858176002270', '858176002171', '818094005791', '818094005784']
360	858176002171	['850009942319', '858176002065', '610764863812', '858176002171', '858176002270']
361	858176002171	['858176002065', '850009942319', '012000504082', '012000211720', '858176002171']
362	016571910303	['858176002133', '858176002508', '858176002065', '850009942319', '041244000067']
363	016571910303	['858176002065', '858176002058', '858176002133', '850009942319', '041244000067']
364	818094005791	['012000004520', '818094005746', '012000212048', '012000212024', '818094005791']
365	818094005791	['858176002171', '858176002133', '858176002058', '818094005791', '818094005746']
366	818094005791	['818094005807', '818094005814', '818094005791', '818094005746', '012000212024']
